delta,N,ratio,norm_odd,norm_even
-0.75,2.0,1.597596118391743,14.837460714933046,9.287366527824014
-0.75,3.0,1.6377526021134223,92.86828247235124,56.704707629534674
-0.75,4.0,1.6592844370486495,678.7986450377961,409.0911900826163
-0.75,5.0,1.672626105658895,5570.656016017031,3330.4849166051918
-0.75,6.0,1.681678825793936,50143.415397239725,29817.47443574225
-0.75,7.0,1.688215289697218,487450.2569694154,288737.023023195
-0.75,8.0,1.6931528224268642,5061275.259766305,2989260.7405111697
-0.75,9.0,1.6970124278639525,55668939.457907744,32804084.721983343
-0.75,10.0,1.7001114744734418,644467004.9979408,379073381.17198753
-0.75,11.0,1.7026541329680818,7812577612.636968,4588470119.306035
-0.75,12.0,1.7047776266959613,98757834774.36316,57930039219.11285
-0.5,2.0,1.5793143024020944,17.987266076071776,11.389288407452291
-0.5,3.0,1.6115240002233189,150.48136574747895,93.378296399325
-0.5,4.0,1.6288919865317508,1571.3452066594052,964.671211873984
-0.5,5.0,1.6397348971495116,19377.06973598131,11817.196651523422
-0.5,6.0,1.6471423355698833,272968.55741591926,165722.50710894197
-0.5,7.0,1.6525216063353685,4296627.212229769,2600042.9862808078
-0.5,8.0,1.6566044911260318,74380631.36222573,44899450.50895493
-0.5,9.0,1.6598088200575287,1399431644.6785233,843128213.1818165
-0.5,10.0,1.662390412887776,28352426336.94172,17055215259.386679
-0.5,11.0,1.6645146164805193,613994017663.7588,368872710148.97974
-0.5,12.0,1.6662930311290092,14126848881915.828,8478009940630.957
-0.25,2.0,1.5688918959143525,21.269215716640268,13.556839557925397
-0.25,3.0,1.596940026077572,229.02675464148516,143.41600241808962
-0.25,4.0,1.6121479467298843,3258.5827835381424,2021.267831000202
-0.25,5.0,1.6216865004094572,57149.7181692861,35240.9162651699
-0.25,6.0,1.6282265915087986,1185022.6922280686,727799.6185592115
-0.25,7.0,1.632989586025714,28253743.867051553,17301851.835941013
-0.25,8.0,1.6366129776148874,759308418.2661366,463951116.514249
-0.25,9.0,1.6394619737528648,22660310925.05861,13821797204.107925
-0.25,10.0,1.6417608197268925,742284646540.2891,452127153737.14935
-0.25,11.0,1.643654814185373,26441835940318.96,16087219598735.543
-0.25,12.0,1.6452422363326358,1016535050899784.9,617863454056294.6
0.0,2.0,1.5624999999999996,24.999999999999993,16.0
0.0,3.0,1.587962962962964,343.0000000000003,216.00000000000006
0.0,4.0,1.6018066406249956,6560.999999999982,4096.0
0.0,5.0,1.61051,161051.0000000005,100000.0000000003
0.0,6.0,1.616488567922678,4826809.000000039,2985984.000000006
0.0,7.0,1.620849023290197,170859374.99999836,105413504.00000067
0.0,8.0,1.624170094961282,6975757440.999845,4294967295.999953
0.0,9.0,1.6267838888731796,322687697778.99756,198359290368.01123
0.0,10.0,1.6288946267776052,16679880978202.0,10239999999999.584
0.0,11.0,1.6306348023201676,952809757913729.6,584318301411213.1
0.0,12.0,1.6320941327229426,5.960464477537533e+16,3.652034743604679e+16
0.25,2.0,1.5587588175715996,29.52633620101034,18.94220957608414
0.25,3.0,1.5825512947399618,519.0789226057465,328.001325663848
0.25,4.0,1.5954835303214039,13428.157826036366,8416.356277479916
0.25,5.0,1.6036184630346588,464138.29656833416,289431.8737700283
0.25,6.0,1.6092101432723516,20229615.925551843,12571146.167656284
0.25,7.0,1.6132907814001394,1069727156.7058666,663071511.372224
0.25,8.0,1.616400278580859,66761302277.0339,41302456552.190094
0.25,9.0,1.6188485903247787,4816770919433.088,2975430159572.0767
0.25,10.0,1.6208264073173015,395343730334477.94,243914911892895.5
0.25,11.0,1.6224575017458636,3.644070609436345e+16,2.2460191441163184e+16
0.25,12.0,1.6238257213080423,3.73261816619075e+18,2.298656879990797e+18
0.5,2.0,1.5570845836577538,35.46817079615187,22.778576814904582
0.5,3.0,1.5799189618805636,817.8263982852111,517.6381941208931
0.5,4.0,1.5922888205051497,29406.24808521852,18467.91091322833
0.5,5.0,1.6000604105621423,1475340.280966372,922052.8620216578
0.5,6.0,1.6053995659006497,96624488.41733035,60187189.824685656
0.5,7.0,1.6092950210932497,7902091588.648484,4910281511.515719
0.5,8.0,1.6122631142327024,781777868418.1528,484894718186.3746
0.5,9.0,1.6146000107540384,91365079333274.48,56586819475249.38
0.5,10.0,1.6164878227710402,1.2382168281797458e+16,7659920543398533.0
0.5,11.0,1.6180447172235652,1.9173588667853614e+18,1.1849850911879588e+18
0.5,12.0,1.6193507292119695,3.35150227429869e+20,2.0696580511188232e+20
0.75,2.0,1.557400999108585,44.449315345408394,28.540700417458318
0.75,3.0,1.5800848066066187,1427.4608488015515,903.4077429471387
0.75,4.0,1.5923023796171214,76635.43733550668,48128.69610477761
0.75,5.0,1.599954571169287,6046859.775889957,3779394.6683565895
0.75,6.0,1.6052019376497784,649208371.8577852,404440311.60858774
0.75,7.0,1.6090257920347213,90092903619.02045,55992206007.51956
0.75,8.0,1.6119368920541577,15578480750323.844,9664448296404.174
0.75,9.0,1.6142275275999123,3265474815119969.0,2022933421272518.2
0.75,10.0,1.6160771281310113,8.122079209264557e+17,5.02579924428342e+17
0.75,11.0,1.6176019744053491,2.356450322529429e+20,1.4567553451433502e+20
0.75,12.0,1.6188807480831602,7.863953516965683e+22,4.857648425479775e+22
1.0,2.0,1.5625,75.0,48.0
1.0,3.0,1.5879629629629648,5145.000000000008,3240.0000000000014
1.0,4.0,1.6018066406249878,688904.9999999949,430080.00000000006
1.0,5.0,1.6105099999999881,152193195.00000003,94500000.00000072
1.0,6.0,1.6164885679226766,50174679555.00048,31039303680.000134
1.0,7.0,1.620849023290157,23089081640624.25,14245053863040.117
1.0,8.0,1.62417009496131,1.4140034726843358e+16,8706006083174554.0
1.0,9.0,1.6267838888729886,1.1119632520037171e+19,6.835347089489978e+18
1.0,10.0,1.6288946267775541,1.0920803043967167e+22,6.704425727999248e+21
1.0,11.0,1.630634802319397,1.3100477280438758e+25,8.03397380075832e+24
1.0,12.0,1.6320941327222318,1.8849023772742332e+28,1.154898078170487e+28
