delta,L,minent
-1.0,3.0,1.0986122886681098
-1.0,5.0,2.3025850929940455
-1.0,7.0,3.5553480614894135
-1.0,9.0,4.836281906951478
-1.0,11.0,6.135564891081739
-1.0,13.0,7.447751280047908
-1.0,15.0,8.769507120030227
-1.0,17.0,10.098643067310169
-1.0,19.0,11.43364413404251
-1.0,21.0,12.773418479527507
-1.0,23.0,14.117153226228602
-0.9,3.0,1.0986122886681098
-0.9,5.0,2.173928972390137
-0.9,7.0,3.2497864036383644
-0.9,9.0,4.325711463052568
-0.9,11.0,5.401302430899852
-0.9,13.0,6.476426056042981
-0.9,15.0,7.551065308144126
-0.9,17.0,8.625246717967755
-0.9,19.0,9.699010597746536
-0.9,21.0,10.772399167370157
-0.9,23.0,11.845452042310667
-0.8,3.0,1.0986122886681098
-0.8,5.0,2.1247559077741975
-0.8,7.0,3.1374342749912154
-0.8,9.0,4.14366112854444
-0.8,11.0,5.145922748186729
-0.8,13.0,6.145460081993915
-0.8,15.0,7.142999230997859
-0.8,17.0,8.139006452467472
-0.8,19.0,9.13380044749192
-0.8,21.0,10.127609230067646
-0.8,23.0,11.12060177386796
-0.7,3.0,1.0986122886681098
-0.7,5.0,2.088313713049977
-0.7,7.0,3.0554725485136656
-0.7,9.0,4.012219871520174
-0.7,11.0,4.962849222981579
-0.7,13.0,5.909422708417983
-0.7,15.0,6.853100889183758
-0.7,17.0,7.7946049975722795
-0.7,19.0,8.734415080128976
-0.7,21.0,9.672867254759408
-0.7,23.0,10.610206245711966
-0.6,3.0,1.0986122886681098
-0.6,5.0,2.058327435467256
-0.6,7.0,2.988737260737373
-0.6,9.0,3.905863686414329
-0.6,11.0,4.81531020139048
-0.6,13.0,5.719726051629613
-0.6,15.0,6.6205825321815
-0.6,17.0,7.518784329232621
-0.6,19.0,8.414928526778455
-0.6,21.0,9.309430350219685
-0.6,23.0,10.202590439201087
-0.5,3.0,1.0986122886681098
-0.5,5.0,2.032376879806249
-0.5,7.0,2.9314156871726578
-0.5,9.0,3.814885188763413
-0.5,11.0,4.689420197033043
-0.5,13.0,5.558132539801955
-0.5,15.0,6.422740163845975
-0.5,17.0,7.284294702187775
-0.5,19.0,8.143487827722026
-0.5,21.0,9.000799230357599
-0.5,23.0,9.856575455850246
-0.3999999999999999,3.0,1.0986122886681098
-0.3999999999999999,5.0,2.009221953289653
-0.3999999999999999,7.0,2.880546712254577
-0.3999999999999999,9.0,3.7343715585105706
-0.3999999999999999,11.0,4.5781898021838545
-0.3999999999999999,13.0,5.415501105977377
-0.3999999999999999,15.0,6.248232197751036
-0.3999999999999999,17.0,7.077560232814113
-0.3999999999999999,19.0,7.904258334315494
-0.3999999999999999,21.0,8.728862089619883
-0.3999999999999999,23.0,9.551758089015758
-0.29999999999999993,3.0,1.0986122886681098
-0.29999999999999993,5.0,1.9881232238653683
-0.29999999999999993,7.0,2.834374625552992
-0.29999999999999993,9.0,3.661426197078114
-0.29999999999999993,11.0,4.477515802304313
-0.29999999999999993,13.0,5.286482780196128
-0.29999999999999993,15.0,6.090438484729446
-0.29999999999999993,17.0,6.890671988465775
-0.29999999999999993,19.0,7.688029535122459
-0.29999999999999993,21.0,8.483097179110564
-0.29999999999999993,23.0,9.276297837474258
-0.19999999999999996,3.0,1.0986122886681098
-0.19999999999999996,5.0,1.9685937406421137
-0.19999999999999996,7.0,2.791749497550689
-0.19999999999999996,9.0,3.5941610390608316
-0.19999999999999996,11.0,4.384732932669359
-0.19999999999999996,13.0,5.167611886942539
-0.19999999999999996,15.0,5.945077820620508
-0.19999999999999996,17.0,6.718522719850962
-0.19999999999999996,19.0,7.488860451209509
-0.19999999999999996,21.0,8.256723957632218
-0.19999999999999996,23.0,9.022570035242945
-0.09999999999999998,3.0,1.0986122886681098
-0.09999999999999998,5.0,1.9502880279854522
-0.09999999999999998,7.0,2.7518597382160412
-0.09999999999999998,9.0,3.531248906873113
-0.09999999999999998,11.0,4.297972866551173
-0.09999999999999998,13.0,5.056463711549314
-0.09999999999999998,15.0,5.809159116616012
-0.09999999999999998,17.0,6.557547969429847
-0.09999999999999998,19.0,7.302608110301431
-0.09999999999999998,21.0,8.04501700691033
-0.09999999999999998,23.0,8.785263724225526
0.0,3.0,1.0986122886681098
0.0,5.0,1.932945043591547
0.0,7.0,2.7140950865872675
0.0,9.0,3.471695065974506
0.0,11.0,4.21583814914283
0.0,13.0,4.951227114622114
0.0,15.0,5.680450298029842
0.0,17.0,6.405089603593764
0.0,19.0,7.126184519500748
0.0,21.0,7.844455549967761
0.0,23.0,8.560423026254629
0.10000000000000009,3.0,1.0986122886681098
0.10000000000000009,5.0,1.9163553254885901
0.10000000000000009,7.0,2.677967981438946
0.10000000000000009,9.0,3.414706620890537
0.10000000000000009,11.0,4.137216326007015
0.10000000000000009,13.0,4.850461431687806
0.10000000000000009,15.0,5.557176702417716
0.10000000000000009,17.0,6.259034828932036
0.10000000000000009,19.0,6.957135660497298
0.10000000000000009,21.0,7.652241943196197
0.10000000000000009,23.0,8.34490475724114
0.20000000000000018,3.0,1.0986122886681098
0.20000000000000018,5.0,1.9003396832971022
0.20000000000000018,7.0,2.643062795286553
0.20000000000000018,9.0,3.3596085143396377
0.20000000000000018,11.0,4.061160704113299
0.20000000000000018,13.0,4.7529407952061415
0.20000000000000018,15.0,5.437828175930222
0.20000000000000018,17.0,6.117585513322034
0.20000000000000018,19.0,6.793372632322037
0.20000000000000018,21.0,7.465994333861769
0.20000000000000018,23.0,8.136032358675807
0.30000000000000004,3.0,1.0986122886681098
0.30000000000000004,5.0,1.8847330347407363
0.30000000000000004,7.0,2.608997561359132
0.30000000000000004,9.0,3.305780433550375
0.30000000000000004,11.0,3.9868009750407634
0.30000000000000004,13.0,4.657537579704404
0.30000000000000004,15.0,5.321014742478776
0.30000000000000004,17.0,5.979085653772687
0.30000000000000004,19.0,6.632970600802934
0.30000000000000004,21.0,7.283516846206362
0.30000000000000004,23.0,7.931337125677249
0.40000000000000013,3.0,1.0986122886681098
0.40000000000000013,5.0,1.8693690981703681
0.40000000000000013,7.0,2.5753879907806576
0.40000000000000013,9.0,3.2525976785194786
0.40000000000000013,11.0,3.9132595521159605
0.40000000000000013,13.0,4.5631133344701835
0.40000000000000013,15.0,5.205331532640489
0.40000000000000013,17.0,5.84185986547499
0.40000000000000013,19.0,6.473980516503176
0.40000000000000013,21.0,7.10258426818283
